"Year","wk","brand","country","channel","fc","season","salesUnits","air","aur","auc","recUnits","recCost","recRtl","recAIR","recAUC","sohAdjust","storeInv","dcInv","transIn","transOut","RtlSales","Cogs"
2017,1,"Gymboree","USA","Outlet","GY YRLY UNIFORM","Basics",,$0.00,$0.00,$0.00,,,,,,,11,,,,,
2017,1,"Gymboree","USA","Outlet","Old","Old",33,$18.72,$7.06,$3.64,,,,,,-22,464,,,1,$233.00,$120.00
2017,1,"Gymboree","USA","Outlet","Winter 17","Winter 17",1,$8.95,$5.00,$1.00,,,,,,,-22,,,,$5.00,$1.00
2017,1,"Gymboree","USA","Retail","GY 17 CAP","Summer",,$0.00,$0.00,$0.00,,,,,,,-1,,,,,
2017,1,"Gymboree","USA","Retail","GY 17 DRSY CAP","Spring",20201,$29.19,$19.37,$4.96,,,,,,68,615703,319399,53456,157478,$391277.00,$100241.00
2017,1,"Gymboree","USA","Retail","GY 17 JAN CAP","Winter",41035,$24.44,$8.36,$4.12,,,,,,-89,191818,194,301,,$342853.00,$168888.00
2017,1,"Gymboree","USA","Retail","GY 17 SM2","Summer",,$0.00,$0.00,$0.00,,,,,,,-1,,,,,
2017,1,"Gymboree","USA","Retail","GY 17 SM3","Summer",,$0.00,$0.00,$0.00,,,,,,,-1,,,,,
2017,1,"Gymboree","USA","Retail","GY 17 SM4","Summer",,$0.00,$0.00,$0.00,,,,,,,-2,,,,,
2017,1,"Gymboree","USA","Retail","GY 17 SMR","Summer",1,$5.95,$6.00,$1.00,,,,,,,-5,,,,$6.00,$1.00
2017,1,"Gymboree","USA","Retail","GY 17 SPR","Spring",27790,$15.65,$9.21,$2.70,279882,$697933.84,$5297479.90,$18.93,$2.49,-11299,667426,510959,35407,63146,$256060.00,$75108.00
2017,1,"Gymboree","USA","Retail","GY 17 SPR 1","Spring",18590,$24.05,$16.18,$4.23,1244,$7370.08,$24817.80,$19.95,$5.92,-5575,703030,110020,56481,94855,$300790.00,$78628.00
2017,1,"Gymboree","USA","Retail","GY 17 SPR 2","Spring",22683,$24.97,$17.43,$4.35,5229,$17861.74,$156608.55,$29.95,$3.42,-7534,615227,157267,100461,140609,$395374.00,$98676.00
2017,1,"Gymboree","USA","Retail","GY 17 SPR VAC","Spring",1,$36.95,$37.00,$5.00,1156110,$4635097.97,$27980613.50,$24.20,$4.01,23,-10,1120018,,,$37.00,$5.00
2017,1,"Gymboree","USA","Retail","GY 17 SPRING BASICS","Basics",17571,$18.20,$11.47,$3.34,116697,$332367.07,$2007836.15,$17.21,$2.85,-7522,635222,529214,3848,7713,$201504.00,$58625.00
2017,1,"Gymboree","USA","Retail","GY 17 SUM 1","Spring",,$0.00,$0.00,$0.00,,,,,,,-2,,,,,
2017,1,"Gymboree","USA","Retail","GY 17 SWIM 1","Spring",2015,$25.77,$17.10,$4.81,,,,,,-7578,72702,27368,727,3383,$34448.00,$9694.00
2017,1,"Gymboree","USA","Retail","GY 17 SWIM 2","Spring",,$0.00,$0.00,$0.00,230938,$982727.30,$5055520.10,$21.89,$4.26,-25,-1,245618,,,,
2017,1,"Gymboree","USA","Retail","GY WEBSTORE SKU","Other",,$0.00,$0.00,$0.00,,,,,,,15,0,,,,
2017,1,"Gymboree","USA","Retail","GY YRLY BASICS","Basics",8829,$206.92,$9.89,$2.85,,,,,,-1369,359802,429859,23605,40318,$87338.00,$25166.00
2017,1,"Gymboree","USA","Retail","GY YRLY DENIM","Basics",1993,$31.54,$21.42,$6.35,,,,,,-788,156463,102533,113,6,$42695.00,$12664.00
2017,1,"Gymboree","USA","Retail","GY YRLY UNIFORM","Basics",433,$15.15,$6.97,$3.12,,,,,,-23,102392,1957,18,1,$3020.00,$1351.00
2017,1,"Gymboree","USA","Retail","Old","Old",280403,$23.67,$8.39,$4.18,176134,$927458.57,$4784239.30,$27.16,$5.27,-1421,7091848,4034677,810723,1287142,$2353788.00,$1171064.00
2017,1,"Gymboree","USA","Retail","Winter 17","Winter 17",31763,$23.51,$9.88,$3.90,,,,,,-42,232646,194,350,655,$313659.00,$124025.00
2017,1,"Gymboree","USA","Web","GY 17 DRSY CAP","Spring",4844,$31.36,$19.90,$5.34,,,,,,-27,493396,,4844,4844,$96419.00,$25863.00
